protein_id	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_014907648.1	G	Belongs to the mannitol dehydrogenase family	ydfI	"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0016614,GO:0016616,GO:0055114"	1.1.1.57	ko:K00040	"ko00040,ko01100,map00040,map01100"	M00061	R02454	RC00085	"ko00000,ko00001,ko00002,ko01000"	-	-	-	"Mannitol_dh,Mannitol_dh_C"
WP_014907649.1	M	UPF0257 lipoprotein	ynfC	-	-	-	-	-	-	-	-	-	-	-	UPF0257
WP_014907650.1	C	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family	ynfE	"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0033797,GO:0055114"	"1.8.5.3,1.97.1.9"	"ko:K07306,ko:K07309,ko:K08351"	"ko00450,ko00780,ko00920,ko01100,map00450,map00780,map00920,map01100"	-	"R07229,R09501,R10127"	"RC02420,RC02555,RC03056"	"ko00000,ko00001,ko01000,ko02000"	"5.A.3.3,5.A.3.4"	-	"iNRG857_1313.NRG857_07945,iSFV_1184.SFV_1557"	"Molybdop_Fe4S4,Molybdopterin,Molydop_binding"
WP_014907651.1	S	Dimethyl sulfoxide reductase	dmsC	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	-	"ko:K07308,ko:K07312"	"ko00920,map00920"	-	R09501	RC02555	"ko00000,ko00001,ko02000"	5.A.3.3	-	"iE2348C_1286.E2348C_1674,iECNA114_1301.ECNA114_1636,iECO103_1326.ECO103_1729,iECSF_1327.ECSF_1450"	DmsC
WP_014907652.1	K	transcriptional regulator	ynfL	"GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141"	-	-	-	-	-	-	-	-	-	-	"HTH_1,LysR_substrate"
WP_014907660.1	F	"3-carboxy-cis,cis-muconate cycloisomerase"	pcaB	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	5.5.1.2	ko:K01857	"ko00362,ko01100,ko01120,ko01220,map00362,map01100,map01120,map01220"	-	R03307	RC00902	"ko00000,ko00001,ko01000"	-	-	-	"ADSL_C,Lyase_1"
WP_014907661.1	K	transcriptional regulator	abgR	-	-	ko:K14057	-	-	-	-	"ko00000,ko03000"	-	-	-	"HTH_1,LysR_substrate"
WP_014907663.1	H	transporter	abgT	"GO:0003674,GO:0005215,GO:0005310,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006835,GO:0006857,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015291,GO:0015318,GO:0015558,GO:0015711,GO:0015814,GO:0015833,GO:0015849,GO:0016020,GO:0022804,GO:0022857,GO:0034220,GO:0035442,GO:0035672,GO:0035673,GO:0042886,GO:0042887,GO:0042938,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071916,GO:0071944,GO:0072337,GO:0072349,GO:0098656,GO:1903825,GO:1904680,GO:1905039"	-	ko:K12942	-	-	-	-	ko00000	-	-	-	ABG_transport
WP_014907665.1	E	Arginine ornithine antiporter	ydgI	"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0071944"	-	"ko:K03757,ko:K03758"	-	-	-	-	"ko00000,ko02000"	2.A.3.2	-	"iAPECO1_1312.APECO1_688,iECOK1_1307.ECOK1_1723,iECS88_1305.ECS88_1650,iUMN146_1321.UM146_09140,iUTI89_1310.UTI89_C1793"	AA_permease_2
WP_014907667.1	G	PTS system	malX	"GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0009758,GO:0016020,GO:0044464,GO:0071944"	"2.7.1.199,2.7.1.208"	"ko:K02790,ko:K02791"	"ko00010,ko00500,ko00520,ko02060,map00010,map00500,map00520,map02060"	M00266	"R02738,R04111"	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	4.A.1.1.3	-	"iECNA114_1301.ECNA114_1668,iECSF_1327.ECSF_1482"	"PTS_EIIB,PTS_EIIC"
WP_014907670.1	S	transporter component	yedE	"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0071944"	-	ko:K07112	-	-	-	-	ko00000	-	-	-	Sulf_transp
WP_014907672.1	S	DUF218 domain	ydcF	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0044464,GO:0071944"	-	-	-	-	-	-	-	-	-	-	DUF218
WP_014907674.1	E	"Catalyzes the hydrolysis of N(2)-succinylarginine into N(2)-succinylornithine, ammonia and CO(2)"	astB	"GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006525,GO:0006527,GO:0006807,GO:0008150,GO:0008152,GO:0009015,GO:0009056,GO:0009063,GO:0009064,GO:0009065,GO:0009987,GO:0016054,GO:0016787,GO:0016810,GO:0016813,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606"	3.5.3.23	ko:K01484	"ko00330,ko01100,map00330,map01100"	-	R04189	RC00024	"ko00000,ko00001,ko01000"	-	-	-	AstB
WP_014907678.1	C	Aldo keto reductase	-	-	-	-	-	-	-	-	-	-	-	-	Aldo_ket_red
WP_014907679.1	K	transcriptional regulator	-	-	-	ko:K06075	-	-	-	-	"ko00000,ko03000"	-	-	-	"MarR,MarR_2"
WP_014907680.1	M	membrane	oprM	-	-	-	-	-	-	-	-	-	-	-	OEP
WP_014907681.1	L	ATP-dependent helicase hrpA	hrpA	"GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0034641,GO:0042623,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0070035,GO:0071704,GO:0090304,GO:0140098,GO:1901360"	3.6.4.13	ko:K03578	-	-	-	-	"ko00000,ko01000"	-	-	-	"DEAD,DUF3418,HA2,Helicase_C,OB_NTP_bind"
WP_014907682.1	K	phenylacetic acid degradation operon negative regulatory protein	paaX	"GO:0000976,GO:0000984,GO:0001017,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0006082,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006805,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009404,GO:0009407,GO:0009410,GO:0009636,GO:0009850,GO:0009852,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010124,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010817,GO:0016054,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019439,GO:0019748,GO:0019752,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031333,GO:0032774,GO:0032787,GO:0034641,GO:0034645,GO:0034654,GO:0042178,GO:0042221,GO:0042445,GO:0042447,GO:0042537,GO:0043170,GO:0043254,GO:0043436,GO:0043565,GO:0044087,GO:0044212,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044271,GO:0044281,GO:0044282,GO:0045892,GO:0045934,GO:0046395,GO:0046483,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051129,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051716,GO:0060255,GO:0065007,GO:0065008,GO:0070887,GO:0071466,GO:0071704,GO:0072329,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0098754,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901575,GO:1901576,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000112,GO:2000113,GO:2000142,GO:2000143,GO:2001141"	-	ko:K02616	-	-	-	-	"ko00000,ko03000"	-	-	-	"PaaX,PaaX_C"
WP_014907683.1	I	Catalyzes the final step of fatty acid oxidation in which acetyl-CoA is released and the CoA ester of a fatty acid two carbons shorter is formed	paaJ	"GO:0003674,GO:0003824,GO:0006082,GO:0006725,GO:0006805,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009056,GO:0009404,GO:0009407,GO:0009410,GO:0009636,GO:0009850,GO:0009852,GO:0009987,GO:0010124,GO:0010817,GO:0016054,GO:0016740,GO:0016746,GO:0016747,GO:0019439,GO:0019748,GO:0019752,GO:0032787,GO:0033554,GO:0033812,GO:0042178,GO:0042221,GO:0042445,GO:0042447,GO:0042537,GO:0043436,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0050896,GO:0051716,GO:0065007,GO:0065008,GO:0070887,GO:0071466,GO:0071704,GO:0072329,GO:0098754,GO:1901360,GO:1901361,GO:1901575"	"2.3.1.16,2.3.1.174,2.3.1.223,2.3.1.9"	"ko:K00626,ko:K00632,ko:K02615"	"ko00071,ko00072,ko00280,ko00281,ko00310,ko00360,ko00362,ko00380,ko00592,ko00620,ko00630,ko00640,ko00642,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00281,map00310,map00360,map00362,map00380,map00592,map00620,map00630,map00640,map00642,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020"	"M00087,M00088,M00095,M00113,M00373,M00374,M00375"	"R00238,R00829,R00927,R01177,R03778,R03858,R03991,R04546,R04742,R04747,R05506,R05586,R07891,R07895,R07899,R08091,R08095,R09839"	"RC00004,RC00326,RC00405,RC01702,RC02728,RC02898,RC02955,RC03003"	"ko00000,ko00001,ko00002,ko01000,ko04147"	-	-	-	"Thiolase_C,Thiolase_N"
WP_014907684.1	C	3-hydroxyacyl-CoA dehydrogenase	paaH	"GO:0003674,GO:0003824,GO:0003857,GO:0006082,GO:0006725,GO:0006805,GO:0008150,GO:0008152,GO:0008691,GO:0009056,GO:0009404,GO:0009407,GO:0009410,GO:0009636,GO:0009850,GO:0009852,GO:0009987,GO:0010124,GO:0010817,GO:0016054,GO:0016491,GO:0016614,GO:0016616,GO:0019439,GO:0019748,GO:0019752,GO:0032787,GO:0042178,GO:0042221,GO:0042445,GO:0042447,GO:0042537,GO:0043436,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0050896,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0071466,GO:0071704,GO:0072329,GO:0098754,GO:1901360,GO:1901361,GO:1901575"	1.1.1.157	ko:K00074	"ko00360,ko00362,ko00650,ko01100,ko01120,map00360,map00362,map00650,map01100,map01120"	-	"R01976,R05576,R06941"	"RC00029,RC00117"	"ko00000,ko00001,ko01000"	-	-	"iECO103_1326.ECO103_1532,iJN746.PP_3282"	"3HCDH,3HCDH_N"
WP_014907685.1	I	Enoyl-CoA hydratase/isomerase	paaF	"GO:0003674,GO:0003824,GO:0004300,GO:0005488,GO:0005515,GO:0006082,GO:0006629,GO:0006631,GO:0006635,GO:0006725,GO:0006805,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009404,GO:0009407,GO:0009410,GO:0009636,GO:0009850,GO:0009852,GO:0009987,GO:0010124,GO:0010817,GO:0016042,GO:0016054,GO:0016829,GO:0016835,GO:0016836,GO:0019395,GO:0019439,GO:0019748,GO:0019752,GO:0030258,GO:0032787,GO:0034440,GO:0042178,GO:0042221,GO:0042445,GO:0042447,GO:0042537,GO:0042802,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0046395,GO:0050896,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0071466,GO:0071704,GO:0072329,GO:0098754,GO:1901360,GO:1901361,GO:1901575"	4.2.1.17	ko:K01692	"ko00071,ko00280,ko00281,ko00310,ko00360,ko00362,ko00380,ko00410,ko00627,ko00640,ko00650,ko00903,ko00930,ko01100,ko01110,ko01120,ko01130,ko01212,map00071,map00280,map00281,map00310,map00360,map00362,map00380,map00410,map00627,map00640,map00650,map00903,map00930,map01100,map01110,map01120,map01130,map01212"	"M00032,M00087"	"R03026,R03045,R04137,R04170,R04204,R04224,R04738,R04740,R04744,R04746,R04749,R05595,R06411,R06412,R06942,R08093"	"RC00831,RC00834,RC01086,RC01095,RC01098,RC01103,RC01217,RC02115"	"ko00000,ko00001,ko00002,ko01000"	-	-	-	ECH_1
WP_014907686.1	C	Oxidoreductase FAD-binding domain	paaE	"GO:0000166,GO:0003674,GO:0005488,GO:0006082,GO:0006725,GO:0006805,GO:0008150,GO:0008152,GO:0009056,GO:0009404,GO:0009407,GO:0009410,GO:0009636,GO:0009850,GO:0009852,GO:0009987,GO:0010124,GO:0010817,GO:0016054,GO:0019439,GO:0019748,GO:0019752,GO:0032787,GO:0036094,GO:0042178,GO:0042221,GO:0042445,GO:0042447,GO:0042537,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0048037,GO:0050660,GO:0050662,GO:0050896,GO:0051536,GO:0051537,GO:0051540,GO:0051716,GO:0065007,GO:0065008,GO:0070887,GO:0071466,GO:0071704,GO:0072329,GO:0097159,GO:0098754,GO:1901265,GO:1901360,GO:1901361,GO:1901363,GO:1901575"	-	ko:K02613	"ko00360,ko01120,map00360,map01120"	-	R09838	RC02690	"ko00000,ko00001"	-	-	iEcHS_1320.EcHS_A1479	"FAD_binding_6,Fer2,NAD_binding_1"
WP_014907688.1	CI	Aldehyde dehydrogenase	paaN	"GO:0003674,GO:0003824,GO:0004300,GO:0006082,GO:0006725,GO:0006805,GO:0008150,GO:0008152,GO:0009056,GO:0009404,GO:0009407,GO:0009410,GO:0009636,GO:0009850,GO:0009852,GO:0009987,GO:0010124,GO:0010817,GO:0016054,GO:0016491,GO:0016725,GO:0016726,GO:0016787,GO:0016801,GO:0016803,GO:0016822,GO:0016823,GO:0016829,GO:0016835,GO:0016836,GO:0019439,GO:0019748,GO:0019752,GO:0032787,GO:0042178,GO:0042221,GO:0042445,GO:0042447,GO:0042537,GO:0043436,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0050896,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0071466,GO:0071704,GO:0072329,GO:0098754,GO:1901360,GO:1901361,GO:1901575"	"1.2.1.91,3.3.2.12"	ko:K02618	"ko00360,ko01120,map00360,map01120"	-	"R09820,R09836"	"RC00080,RC02667"	"ko00000,ko00001,ko01000"	-	-	"iEC55989_1330.EC55989_1523,iECO111_1330.ECO111_1781,iECO26_1355.ECO26_1991"	"Aldedh,MaoC_dehydratas"
WP_014907690.1	C	belongs to the aldehyde dehydrogenase family	feaB	"GO:0003674,GO:0003824,GO:0004029,GO:0006139,GO:0006576,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006805,GO:0006807,GO:0008150,GO:0008152,GO:0008957,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009165,GO:0009308,GO:0009310,GO:0009410,GO:0009435,GO:0009987,GO:0016043,GO:0016491,GO:0016620,GO:0016903,GO:0018130,GO:0018958,GO:0018960,GO:0019336,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019607,GO:0019637,GO:0019674,GO:0022607,GO:0034641,GO:0034654,GO:0042178,GO:0042221,GO:0042402,GO:0042443,GO:0043933,GO:0044085,GO:0044106,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044271,GO:0044281,GO:0046196,GO:0046483,GO:0046496,GO:0047106,GO:0050896,GO:0051186,GO:0051188,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0051716,GO:0055086,GO:0055114,GO:0065003,GO:0070887,GO:0071466,GO:0071704,GO:0071840,GO:0072524,GO:0072525,GO:0090407,GO:0097164,GO:1901160,GO:1901161,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901616"	1.2.1.39	ko:K00146	"ko00360,ko00643,ko01100,ko01120,map00360,map00643,map01100,map01120"	-	R02536	RC00080	"ko00000,ko00001,ko01000"	-	-	iYL1228.KPN_01455	Aldedh
WP_014907691.1	K	transcriptional regulator	feaR	"GO:0000976,GO:0000984,GO:0000986,GO:0000987,GO:0001017,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003824,GO:0005488,GO:0006081,GO:0006082,GO:0006089,GO:0006355,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009438,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016053,GO:0016829,GO:0016835,GO:0016836,GO:0019172,GO:0019219,GO:0019222,GO:0019243,GO:0019249,GO:0019752,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032787,GO:0042180,GO:0042182,GO:0043436,GO:0043565,GO:0044212,GO:0044237,GO:0044248,GO:0044249,GO:0044281,GO:0044282,GO:0044283,GO:0045893,GO:0045935,GO:0046185,GO:0046394,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051596,GO:0060255,GO:0061727,GO:0065007,GO:0071704,GO:0072330,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1901575,GO:1901576,GO:1901615,GO:1901617,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2001141"	-	ko:K14063	-	-	-	-	"ko00000,ko03000"	-	-	-	"AraC_binding_2,HTH_18"
WP_014907692.1	C	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin	nifJ	"GO:0003674,GO:0003824,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0016491,GO:0016625,GO:0016903,GO:0043873,GO:0050896,GO:0055114"	1.2.7.1	ko:K03737	"ko00010,ko00020,ko00620,ko00650,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00650,map00720,map01100,map01120,map01130,map01200"	"M00173,M00307"	"R01196,R10866"	"RC00004,RC02742"	"br01601,ko00000,ko00001,ko00002,ko01000"	-	-	"iLF82_1304.LF82_2789,iNRG857_1313.NRG857_06920"	"EKR,Fer4_16,Fer4_7,PFOR_II,POR,POR_N,TPP_enzyme_C"
WP_014907693.1	M	Belongs to the Gram-negative porin family	ompN	"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0006810,GO:0008150,GO:0008643,GO:0009279,GO:0015267,GO:0015288,GO:0016020,GO:0019867,GO:0022803,GO:0022829,GO:0022857,GO:0030312,GO:0030313,GO:0031975,GO:0034219,GO:0044462,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944"	-	"ko:K09475,ko:K09476,ko:K11929,ko:K14062"	"ko01501,ko02020,map01501,map02020"	M00746	-	-	"ko00000,ko00001,ko00002,ko01504,ko02000"	"1.B.1.1,1.B.1.1.1,1.B.1.1.2,1.B.1.1.3"	-	"iECO26_1355.ECO26_1980,iZ_1308.Z2333"	Porin_1
WP_014907694.1	JKL	"DEAD-box RNA helicase involved in the assembly of the 50S ribosomal subunit. Has an RNA-dependent ATPase activity, which is specific for 23S rRNA, and a 3' to 5' RNA helicase activity that uses the energy of ATP hydrolysis to destabilize and unwind short rRNA duplexes"	dbpA	"GO:0000027,GO:0000166,GO:0003674,GO:0003676,GO:0003723,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006725,GO:0006807,GO:0006996,GO:0008026,GO:0008144,GO:0008150,GO:0008152,GO:0008186,GO:0009987,GO:0010501,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033677,GO:0034458,GO:0034459,GO:0034622,GO:0034641,GO:0035639,GO:0036094,GO:0042254,GO:0042255,GO:0042273,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0043531,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0065003,GO:0070035,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:0097159,GO:0097367,GO:0140097,GO:0140098,GO:1901265,GO:1901360,GO:1901363"	3.6.4.13	ko:K05591	-	-	-	-	"ko00000,ko01000,ko03009"	-	-	-	"DEAD,DbpA,Helicase_C"
WP_014907695.1	K	transcriptional regulator	-	-	-	ko:K02444	-	-	-	-	"ko00000,ko03000"	-	-	-	"DeoRC,HTH_DeoR"
WP_014907696.1	S	oxidoreductase	ydgJ	-	1.1.1.371	ko:K16044	"ko00562,ko01120,map00562,map01120"	-	R09954	RC00182	"ko00000,ko00001,ko01000"	-	-	-	"GFO_IDH_MocA,GFO_IDH_MocA_C"
WP_014907697.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_014907698.1	E	amino acid	aroP	-	-	"ko:K11732,ko:K11734"	-	-	-	-	"ko00000,ko02000"	"2.A.3.1.1,2.A.3.1.3"	-	-	AA_permease
WP_014907699.1	E	aminotransferase	tyrB	-	2.6.1.57	ko:K00832	"ko00270,ko00350,ko00360,ko00400,ko00401,ko00950,ko00960,ko01100,ko01110,ko01130,ko01230,map00270,map00350,map00360,map00400,map00401,map00950,map00960,map01100,map01110,map01130,map01230"	"M00024,M00025,M00034,M00040"	"R00694,R00734,R01731,R07396,R10845"	"RC00006,RC00036"	"ko00000,ko00001,ko00002,ko01000,ko01007"	-	-	iJN746.PP_3590	Aminotran_1_2
WP_014907700.1	P	ABC transporter (permease)	-	-	-	ko:K02072	"ko02010,map02010"	M00238	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.24	-	-	BPD_transp_1
WP_014907701.1	P	Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system	metN	-	-	ko:K02071	"ko02010,map02010"	M00238	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.24	-	-	"ABC_tran,NIL"
WP_014907702.1	P	NLPA lipoprotein	metQ_2	-	-	ko:K02073	"ko02010,map02010"	M00238	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.24	-	-	Lipoprotein_9
WP_014907703.1	E	Aminotransferase class I and II	-	-	-	ko:K08969	"ko00270,ko01100,map00270,map01100"	M00034	R07396	RC00006	"ko00000,ko00001,ko00002,ko01000,ko01007"	-	-	-	Aminotran_1_2
WP_014907704.1	C	COG0604 NADPH quinone reductase and related Zn-dependent oxidoreductases	-	-	1.6.5.5	ko:K00344	-	-	-	-	"ko00000,ko01000"	-	-	-	"ADH_N,ADH_zinc_N_2"
WP_014907705.1	GM	NmrA-like family	-	-	-	-	-	-	-	-	-	-	-	-	NmrA
WP_014907706.1	S	Beta-lactamase	-	-	-	-	-	-	-	-	-	-	-	-	Lactamase_B
WP_014907707.1	K	transcriptional regulator	mexT	-	-	ko:K18297	-	"M00641,M00745"	-	-	"ko00000,ko00002,ko01504,ko03000"	-	-	-	"HTH_1,LysR_substrate"
WP_014907708.1	GM	NmrA-like family	-	-	-	-	-	-	-	-	-	-	-	-	NmrA
WP_014907710.1	K	tetR family	yjgJ	"GO:0000976,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0043565,GO:0044212,GO:0044424,GO:0044444,GO:0044464,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000112,GO:2000113,GO:2001141"	-	ko:K19335	-	-	-	-	"ko00000,ko03000"	-	-	-	TetR_N
WP_014907711.1	IQ	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	yjgI	"GO:0000166,GO:0003674,GO:0005488,GO:0008144,GO:0008150,GO:0009987,GO:0017076,GO:0019001,GO:0030551,GO:0032553,GO:0032555,GO:0032561,GO:0035438,GO:0036094,GO:0042710,GO:0043167,GO:0043168,GO:0044010,GO:0044764,GO:0048037,GO:0050661,GO:0050662,GO:0051704,GO:0070402,GO:0097159,GO:0097367,GO:1901265,GO:1901363"	1.1.1.100	"ko:K00059,ko:K19336"	"ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212"	"M00083,M00572"	"R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671"	"RC00029,RC00117"	"ko00000,ko00001,ko00002,ko01000,ko01004"	-	-	-	adh_short_C2
WP_014907712.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_014907718.1	M	LysM domain	-	-	-	-	-	-	-	-	-	-	-	-	LysM
WP_014907723.1	S	Uncharacterized protein conserved in bacteria (DUF2345)	-	-	-	ko:K11904	"ko03070,map03070"	M00334	-	-	"ko00000,ko00001,ko00002,ko02044"	3.A.23.1	-	-	"DUF2345,Phage_GPD,T6SS_Vgr"
WP_014907726.1	M	Belongs to the ompA family	-	-	-	-	-	-	-	-	-	-	-	-	"OMP_b-brl,OmpA"
WP_014907727.1	S	type VI secretion protein	-	-	-	ko:K11900	"ko02025,map02025"	M00334	-	-	"ko00000,ko00001,ko00002,ko02044"	3.A.23.1	-	-	VipB
WP_014907729.1	S	Intracellular protease	pfpI	-	3.5.1.124	ko:K05520	-	-	-	-	"ko00000,ko01000,ko01002"	-	-	-	DJ-1_PfpI
WP_014907732.1	T	Anti-sigma regulatory factor (Ser Thr protein kinase)	-	-	2.7.11.1	ko:K04757	-	-	-	-	"ko00000,ko01000,ko01001,ko03021"	-	-	-	HATPase_c_2
WP_014907733.1	T	response regulator	-	-	3.1.3.3	ko:K07315	-	-	-	-	"ko00000,ko01000,ko03021"	-	-	-	"HATPase_c_2,Response_reg,SpoIIE"
WP_014907735.1	S	OpgC protein	-	-	-	-	-	-	-	-	-	-	-	-	OpgC_C
WP_014907736.1	M	Cellulose synthase	-	-	2.4.1.12	ko:K00694	"ko00500,ko01100,ko02026,map00500,map01100,map02026"	-	R02889	RC00005	"ko00000,ko00001,ko01000,ko01003,ko02000"	"4.D.3.1.2,4.D.3.1.5,4.D.3.1.6"	GT2	-	"Cellulose_synt,Glycos_transf_2,PilZ"
WP_014907737.1	NU	Protein of unknown function (DUF3131)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3131
