query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
group_9472	573.JG24_01865	4.66e-62	190.0	2EHRV@1|root,33BHK@2|Bacteria,1NPRA@1224|Proteobacteria,1SJEZ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
recD_2~~~traI_2~~~traI~~~recD2	1484157.PSNIH2_19930	0.0	2055.0	COG0507@1|root,COG0507@2|Bacteria,1MUTR@1224|Proteobacteria,1RMA4@1236|Gammaproteobacteria,3W13J@53335|Pantoea	1236|Gammaproteobacteria	L	TrwC relaxase	traI	-	-	-	-	-	-	-	-	-	-	-	AAA_30,Toprim_2,Toprim_3,TraI,TrwC,UvrD_C_2,Viral_helicase1
mrkB_2~~~mrkB~~~mrkB_1	1035839.AFNK01000015_gene1626	9.02e-141	400.0	COG3121@1|root,COG3121@2|Bacteria,1RBUW@1224|Proteobacteria,1S2UZ@1236|Gammaproteobacteria,1Y9IZ@135625|Pasteurellales	135625|Pasteurellales	M	Pili and flagellar-assembly chaperone, PapD N-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	PapD_C,PapD_N
group_9474	571.MC52_00355	2.52e-234	644.0	COG2199@1|root,COG2203@1|root,COG2199@2|Bacteria,COG2203@2|Bacteria,1RGKE@1224|Proteobacteria,1RPC0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	T	Diguanylate cyclase	-	-	-	-	-	-	-	-	-	-	-	-	GAF,GAF_2,GGDEF,PAS_3,PAS_4,PAS_9
group_9475	573.JG24_08605	2.92e-307	837.0	COG4695@1|root,COG4695@2|Bacteria,1MUP5@1224|Proteobacteria,1RPB0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	portal protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_portal
sppA_2~~~sppA_3~~~sppA_1	573.JG24_08610	7.55e-206	571.0	COG0616@1|root,COG0616@2|Bacteria,1QGPW@1224|Proteobacteria,1RZZW@1236|Gammaproteobacteria	1236|Gammaproteobacteria	OU	peptidase	JD73_18850	-	-	ko:K21511	-	-	-	-	ko00000,ko01000	-	-	-	Peptidase_S49
group_9476	35703.DQ02_13150	9.72e-103	296.0	COG1974@1|root,COG1974@2|Bacteria,1MZFA@1224|Proteobacteria,1S5X5@1236|Gammaproteobacteria,3WYI5@544|Citrobacter	1236|Gammaproteobacteria	L	Peptidase S24-like	umuD	-	-	ko:K03503	-	-	-	-	ko00000,ko01000,ko01002,ko03400	-	-	-	Peptidase_S24
group_14625	630626.EBL_c30120	1.48e-49	157.0	2EF19@1|root,338UC@2|Bacteria,1NBDW@1224|Proteobacteria,1SFZ7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	cim	-	-	-	-	-	-	-	-	-	-	-	-
group_9479	35703.DQ02_13280	9.9e-43	140.0	2ET1W@1|root,33KK1@2|Bacteria,1NGI3@1224|Proteobacteria,1SHD3@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9480	371042.NG99_23805	1.81e-72	221.0	29J09@1|root,305XQ@2|Bacteria,1RAQN@1224|Proteobacteria,1S23I@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Domain of unknown function (DUF1833)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1833
mrkC_3~~~mrkC~~~mrkC_2~~~mrkC_1	1035839.AFNK01000015_gene1625	0.0	1618.0	COG3188@1|root,COG3188@2|Bacteria,1MUHE@1224|Proteobacteria,1RMPU@1236|Gammaproteobacteria,1Y9I5@135625|Pasteurellales	135625|Pasteurellales	NU	Outer membrane usher protein	Z012_00755	-	-	ko:K07347	ko05133,map05133	-	-	-	ko00000,ko00001,ko02000,ko02035,ko02044	1.B.11.3	-	-	PapC_C,PapC_N,Usher
group_14629	630626.EBL_c29960	6.36e-116	334.0	2ACTC@1|root,312E7@2|Bacteria,1R49I@1224|Proteobacteria,1S83K@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Protein of unknown function (DUF3486)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3486
xerC_7~~~xerD_7~~~xerD_4~~~xerD_6~~~xerD_3~~~xerD_2~~~xerD_1~~~xerC_4~~~xerD_5~~~xerC_3~~~xerC_2	573.JG24_01560	5.32e-167	469.0	COG0582@1|root,COG0582@2|Bacteria,1PU4F@1224|Proteobacteria,1RPBW@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	Phage integrase family protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_integrase
parA_1~~~parA~~~parA_2	35703.DQ02_13165	7.62e-290	791.0	COG1192@1|root,COG1192@2|Bacteria,1NAJP@1224|Proteobacteria,1S2DK@1236|Gammaproteobacteria,3WYYN@544|Citrobacter	1236|Gammaproteobacteria	D	AAA domain	parA	-	-	-	-	-	-	-	-	-	-	-	AAA_31
group_9484	573.JG24_11085	1.76e-94	275.0	COG1974@1|root,COG1974@2|Bacteria,1MZFA@1224|Proteobacteria,1S5X5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	KT	Belongs to the peptidase S24 family	umuD	GO:0000731,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003824,GO:0003887,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006301,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0008094,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009355,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0016462,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0018130,GO:0019438,GO:0019985,GO:0031668,GO:0032991,GO:0033554,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0042575,GO:0042623,GO:0042802,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0061695,GO:0071496,GO:0071704,GO:0071897,GO:0090304,GO:0097159,GO:0140097,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902494,GO:1990234	-	ko:K03503	-	-	-	-	ko00000,ko01000,ko01002,ko03400	-	-	-	Peptidase_S24
group_9487	78398.KS43_19420	4.36e-64	198.0	29RTM@1|root,30CXH@2|Bacteria,1RGMP@1224|Proteobacteria,1S5EK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Bacteriophage related domain of unknown function	-	-	-	-	-	-	-	-	-	-	-	-	DUF4128
iroD	199310.c1252	2.33e-304	828.0	COG2382@1|root,COG2382@2|Bacteria,1R5T4@1224|Proteobacteria,1S16U@1236|Gammaproteobacteria,3XRKJ@561|Escherichia	1236|Gammaproteobacteria	P	Domain of unknown function (DUF3327)	iroD	-	-	-	-	-	-	-	-	-	-	-	DUF3327,Esterase
iroB~~~iroB_1	199310.c1254	6.47e-237	656.0	COG1819@1|root,COG1819@2|Bacteria,1PVBZ@1224|Proteobacteria,1RR45@1236|Gammaproteobacteria	1236|Gammaproteobacteria	CG	Protein of unknown function (DUF1205)	iroB	-	-	-	-	-	-	-	-	-	-	-	DUF1205
group_9488	1399774.JDWH01000005_gene350	1.6e-54	171.0	COG1937@1|root,COG1937@2|Bacteria,1N6ZN@1224|Proteobacteria,1S6I2@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	protein conserved in bacteria	frmR	GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141	-	-	-	-	-	-	-	-	-	-	Trns_repr_metal
group_9490	571.MC52_17720	2.88e-100	292.0	COG3499@1|root,COG3499@2|Bacteria,1MZJ7@1224|Proteobacteria,1S3NI@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	P2 GpU family protein	-	-	-	ko:K06906	-	-	-	-	ko00000	-	-	-	Phage_P2_GpU
group_9492	218493.SBG_0903	1.21e-16	73.9	2E875@1|root,31T8C@2|Bacteria,1QQY2@1224|Proteobacteria,1RTNR@1236|Gammaproteobacteria,3ZNFE@590|Salmonella	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9493	104623.Ser39006_04149	3.62e-37	127.0	2EAD1@1|root,334GX@2|Bacteria,1NCIG@1224|Proteobacteria,1T8XM@1236|Gammaproteobacteria,403VX@613|Serratia	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9494	573.JG24_02330	0.0	1106.0	COG1475@1|root,COG1475@2|Bacteria,1MVF9@1224|Proteobacteria,1RR8P@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	ParB-like nuclease domain	-	-	-	ko:K03497	-	-	-	-	ko00000,ko03000,ko03036,ko04812	-	-	-	ParBc
group_9495	571.MC52_15000	1.56e-31	111.0	2FJYW@1|root,34BM8@2|Bacteria,1P2E1@1224|Proteobacteria,1SRP4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9496	571.MC52_15000	5.22e-41	134.0	2FJYW@1|root,34BM8@2|Bacteria,1P2E1@1224|Proteobacteria,1SRP4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
traQ~~~traQ_2	754331.AEME01000001_gene3674	5.87e-44	144.0	2E77E@1|root,331R7@2|Bacteria,1NDTK@1224|Proteobacteria,1SDPV@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Type-F conjugative transfer system pilin chaperone (TraQ)	-	-	-	-	-	-	-	-	-	-	-	-	TraQ
tssB_1~~~tssB~~~tssB_2	573.JG24_09955	1.34e-99	291.0	COG3516@1|root,COG3516@2|Bacteria,1RA8Z@1224|Proteobacteria,1S2B1@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	type VI secretion protein	-	-	-	ko:K11901	ko02025,map02025	M00334	-	-	ko00000,ko00001,ko00002,ko02044	3.A.23.1	-	-	T6SS_VipA
group_9499	573.JG24_23080	2.77e-40	134.0	COG3630@1|root,COG3630@2|Bacteria,1NHYS@1224|Proteobacteria,1SE7S@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	oxaloacetate decarboxylase gamma chain	oadG	-	4.1.1.3	ko:K01573	ko00620,ko01100,map00620,map01100	-	R00217	RC00040	ko00000,ko00001,ko01000,ko02000	3.B.1.1.1	-	-	OAD_gamma
group_9501	1115515.EV102420_23_00070	5.11e-95	285.0	2CB53@1|root,2ZB3U@2|Bacteria,1R850@1224|Proteobacteria,1S00X@1236|Gammaproteobacteria,3XP5T@561|Escherichia	1236|Gammaproteobacteria	S	Replication protein P	-	-	-	-	-	-	-	-	-	-	-	-	Phage_lambda_P
group_9504	1166016.W5S_1636	2.57e-290	794.0	COG0582@1|root,COG0582@2|Bacteria,1MU23@1224|Proteobacteria,1RMJ1@1236|Gammaproteobacteria,1MQEU@122277|Pectobacterium	1236|Gammaproteobacteria	L	Arm DNA-binding domain	intB	-	-	-	-	-	-	-	-	-	-	-	Arm-DNA-bind_3,Phage_integrase
group_9503	634500.EbC_pEb10200170	5.73e-204	568.0	COG3547@1|root,COG3547@2|Bacteria,1MXKJ@1224|Proteobacteria,1RSCP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	Transposase	-	-	-	-	-	-	-	-	-	-	-	-	DEDD_Tnp_IS110,Transposase_20
group_9502	1006000.GKAS_02277	0.0	2011.0	COG3696@1|root,COG3696@2|Bacteria,1NUIV@1224|Proteobacteria,1SP6I@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	cusA	-	-	ko:K07787	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.6.1.4	-	-	ACR_tran
group_9507	1129374.AJE_08220	0.0	1035.0	COG0399@1|root,COG0399@2|Bacteria,1MUMJ@1224|Proteobacteria,1RSDY@1236|Gammaproteobacteria,469FZ@72275|Alteromonadaceae	1236|Gammaproteobacteria	M	Transposase zinc-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	Y2_Tnp,Zn_Tnp_IS91
group_27850	571.MC52_01320	5.24e-67	214.0	2C7CY@1|root,33U69@2|Bacteria,1NUK2@1224|Proteobacteria,1SNGZ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_28872	215158.FIBER_BPE15	1.43e-57	218.0	4QAK6@10239|Viruses,4QUP9@35237|dsDNA viruses  no RNA stage,4QPBY@28883|Caudovirales,4QNBD@10744|Podoviridae	10744|Podoviridae	S	outer membrane	-	GO:0003674,GO:0003824,GO:0004553,GO:0005575,GO:0008150,GO:0016032,GO:0016787,GO:0016798,GO:0019012,GO:0019058,GO:0019062,GO:0022610,GO:0044403,GO:0044406,GO:0044409,GO:0044411,GO:0044419,GO:0044423,GO:0044650,GO:0051701,GO:0051704,GO:0051828,GO:0051830,GO:0085027,GO:0098015,GO:0098024	-	-	-	-	-	-	-	-	-	-	-
cusR_1~~~cusR_2	1006000.GKAS_02287	2.31e-152	429.0	COG0745@1|root,COG0745@2|Bacteria,1MU67@1224|Proteobacteria,1RNWH@1236|Gammaproteobacteria	1236|Gammaproteobacteria	KT	COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	copR	-	-	ko:K07665	ko02020,map02020	M00452,M00745	-	-	ko00000,ko00001,ko00002,ko01504,ko02022	-	-	-	Response_reg,Trans_reg_C
group_9510	1484157.PSNIH2_19970	6.64e-22	86.3	2994A@1|root,2ZW7T@2|Bacteria,1PABF@1224|Proteobacteria,1SUS2@1236|Gammaproteobacteria,3W2GQ@53335|Pantoea	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9511	1005994.GTGU_02629	3.63e-95	278.0	COG2963@1|root,COG2963@2|Bacteria,1RJYS@1224|Proteobacteria,1S5Z0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	Transposase	-	-	-	ko:K07483	-	-	-	-	ko00000	-	-	-	HTH_Tnp_1
group_9512	634499.EpC_17560	3.26e-47	158.0	2D7I9@1|root,32TP3@2|Bacteria,1N2ZM@1224|Proteobacteria,1S9DB@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	phage protein	-	-	-	-	-	-	-	-	-	-	-	-	DUF1364
group_9514	1484157.PSNIH2_19945	4.57e-29	109.0	2DKJM@1|root,309R0@2|Bacteria,1QG12@1224|Proteobacteria,1TDCY@1236|Gammaproteobacteria,3W1SZ@53335|Pantoea	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9517	155864.EDL933_0383	1.45e-191	549.0	COG1172@1|root,COG1172@2|Bacteria,1MV1D@1224|Proteobacteria,1RRD6@1236|Gammaproteobacteria,3XNMM@561|Escherichia	1236|Gammaproteobacteria	U	Branched-chain amino acid transport system / permease component	lsrD_1	-	-	ko:K02057,ko:K10440	ko02010,map02010	M00212,M00221	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.2,3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	-	BPD_transp_2
copA_2~~~cueO_2~~~copA_5~~~copA_1~~~copA_3~~~cueO_1~~~copA_4	1006000.GKAS_02283	0.0	1185.0	COG2132@1|root,COG2132@2|Bacteria,1MU0J@1224|Proteobacteria,1RQ4N@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	Multi-copper	copA	-	-	-	-	-	-	-	-	-	-	-	CopB,Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3
group_9519	630626.EBL_c34080	8.33e-293	806.0	COG1129@1|root,COG1129@2|Bacteria,1MU22@1224|Proteobacteria,1RSEP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	ABC transporter	-	-	3.6.3.17	ko:K02056	-	M00221	-	-	ko00000,ko00002,ko01000,ko02000	3.A.1.2	-	-	ABC_tran
group_9518	35703.DQ02_13135	1.42e-39	132.0	2DWRM@1|root,341KB@2|Bacteria,1NXHS@1224|Proteobacteria,1SPU7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9520	571.MC52_01340	1.43e-94	277.0	29J09@1|root,305XQ@2|Bacteria,1RAQN@1224|Proteobacteria,1S23I@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Domain of unknown function (DUF1833)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1833
group_9521	640513.Entas_3078	1.64e-264	727.0	COG4653@1|root,COG4653@2|Bacteria,1MWU1@1224|Proteobacteria,1S0F5@1236|Gammaproteobacteria,3X451@547|Enterobacter	1236|Gammaproteobacteria	S	TIGRFAM Phage major capsid protein, HK97	-	-	-	-	-	-	-	-	-	-	-	-	Phage_capsid
bcsG_2~~~bcsG_1~~~bcsG~~~bcsG_3	573.JG24_24375	0.0	1015.0	COG2194@1|root,COG2194@2|Bacteria,1MWJY@1224|Proteobacteria,1RN4T@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	cellulose synthase operon protein YhjU	bcsG	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	CBP_BcsG
group_9522	571.MC52_00620	1.75e-96	282.0	COG5654@1|root,COG5654@2|Bacteria,1N6P3@1224|Proteobacteria,1S7EU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	RES domain protein	-	-	-	-	-	-	-	-	-	-	-	-	RES
group_9523	1035839.AFNK01000058_gene774	4.87e-81	239.0	28MAQ@1|root,2ZAPC@2|Bacteria,1PTEN@1224|Proteobacteria,1S3M7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9524	10742.Q9MCV0_BPHK0	1.47e-64	198.0	4QB3I@10239|Viruses,4QUNM@35237|dsDNA viruses  no RNA stage,4QPE3@28883|Caudovirales,4QKP4@10699|Siphoviridae	10699|Siphoviridae	S	Protein of unknown function (DUF3168)	-	GO:0005575,GO:0008150,GO:0016032,GO:0019012,GO:0019058,GO:0019068,GO:0044403,GO:0044419,GO:0044423,GO:0051704,GO:0098003,GO:0098004,GO:0098015	-	-	-	-	-	-	-	-	-	-	-
group_9525	1484157.PSNIH2_19815	5.71e-58	179.0	2BUJ5@1|root,32PVH@2|Bacteria,1QJ7A@1224|Proteobacteria,1TH4X@1236|Gammaproteobacteria,3W2BI@53335|Pantoea	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9526	1484157.PSNIH2_19800	2.79e-64	197.0	2AV0C@1|root,31KQ6@2|Bacteria,1QIJX@1224|Proteobacteria,1TGEZ@1236|Gammaproteobacteria,3W278@53335|Pantoea	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9527	82996.sch_08290	8.63e-177	518.0	COG0297@1|root,COG1216@1|root,COG0297@2|Bacteria,COG1216@2|Bacteria,1R60D@1224|Proteobacteria	1224|Proteobacteria	M	glycosyl transferase family	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_trans_4_4,Glyco_transf_4,Glycos_transf_1,Glycos_transf_2
group_9529	469595.CSAG_04216	8.48e-184	516.0	COG1403@1|root,COG1403@2|Bacteria,1MW22@1224|Proteobacteria,1S099@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	HNH endonuclease	-	-	-	ko:K07451	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	HNH
glgB_1~~~glgB_2	1286170.RORB6_20445	0.0	1468.0	COG0296@1|root,COG0296@2|Bacteria,1QTVN@1224|Proteobacteria,1RQSK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position	glgB	GO:0000271,GO:0003674,GO:0003824,GO:0003844,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0006073,GO:0006091,GO:0006112,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0015980,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0033554,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716,GO:0055114,GO:0071704,GO:1901576	2.4.1.18	ko:K00700	ko00500,ko01100,ko01110,map00500,map01100,map01110	M00565	R02110	-	ko00000,ko00001,ko00002,ko01000,ko04147	-	CBM48,GH13	iAPECO1_1312.APECO1_3025,iECNA114_1301.ECNA114_3542,iECOK1_1307.ECOK1_3857,iECS88_1305.ECS88_3830,iECSF_1327.ECSF_3253,iLF82_1304.LF82_0837,iNRG857_1313.NRG857_17030,iUTI89_1310.UTI89_C3941	Alpha-amylase,Alpha-amylase_C,CBM_48
group_9531	371042.NG99_23805	1.02e-85	260.0	29J09@1|root,305XQ@2|Bacteria,1RAQN@1224|Proteobacteria,1S23I@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Domain of unknown function (DUF1833)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1833
group_9532	1028307.EAE_21220	2.11e-25	96.3	2EHIM@1|root,33BAK@2|Bacteria,1NIY5@1224|Proteobacteria,1SHDX@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Protein of unknown function (DUF1482)	-	GO:0001906,GO:0001907,GO:0008150,GO:0016032,GO:0019048,GO:0019058,GO:0019076,GO:0031640,GO:0035821,GO:0035890,GO:0035891,GO:0039633,GO:0040011,GO:0044003,GO:0044004,GO:0044364,GO:0044403,GO:0044419,GO:0044659,GO:0044661,GO:0051701,GO:0051704,GO:0051817,GO:0051818,GO:0051883,GO:0052126,GO:0052192	-	-	-	-	-	-	-	-	-	-	DUF1482
group_9533	571.MC52_29725	0.0	1902.0	COG4644@1|root,COG4644@2|Bacteria,1MUIU@1224|Proteobacteria,1RPZZ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	Transposase	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_Tn3,DUF4158
group_9534	90371.CY43_13955	3.41e-113	327.0	28MFS@1|root,2ZAT6@2|Bacteria,1Q0BK@1224|Proteobacteria,1S10W@1236|Gammaproteobacteria,3ZN96@590|Salmonella	1236|Gammaproteobacteria	S	Protein of unknown function (DUF1133)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1133
group_9535	701347.Entcl_1851	9.78e-30	108.0	2E875@1|root,332KC@2|Bacteria,1NDXF@1224|Proteobacteria,1SF33@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9539	255431.Q6UAT7_9CAUD	7.1e-67	204.0	4QEGF@10239|Viruses,4QZU1@35237|dsDNA viruses  no RNA stage,4QTPK@28883|Caudovirales,4QMJ3@10699|Siphoviridae	10699|Siphoviridae	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_7388	255431.Q6UAU7_9CAUD	0.0	2083.0	4QAY9@10239|Viruses,4QUV8@35237|dsDNA viruses  no RNA stage,4QPFD@28883|Caudovirales,4QMA6@10699|Siphoviridae	10699|Siphoviridae	S	exonuclease activity	-	-	-	-	-	-	-	-	-	-	-	-	-
group_7391	255431.Q6UAU4_9CAUD	8.37e-152	429.0	4QBB4@10239|Viruses,4QXRP@35237|dsDNA viruses  no RNA stage,4QPYU@28883|Caudovirales,4QME5@10699|Siphoviridae	10699|Siphoviridae	S	Phage antitermination protein Q	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9540	571.MC52_11320	1.7e-55	173.0	COG3311@1|root,COG3311@2|Bacteria,1NGB9@1224|Proteobacteria,1S61D@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Prophage CP4-57 regulatory protein (AlpA)	-	-	-	ko:K07733	-	-	-	-	ko00000,ko03000	-	-	-	Phage_AlpA
group_9541	1111728.ATYS01000061_gene462	1.84e-13	67.8	2EQZI@1|root,33IJ4@2|Bacteria,1NMEQ@1224|Proteobacteria,1SIQQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	ko:K03646	-	-	-	-	ko00000,ko02000	2.C.1.2	-	-	-
group_9547	573.JG24_11005	1.13e-60	188.0	COG5614@1|root,COG5614@2|Bacteria,1N9Y5@1224|Proteobacteria,1SEH5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	head-tail adaptor	-	-	-	-	-	-	-	-	-	-	-	-	Phage_H_T_join
group_9543	573.JG24_11010	8.8e-93	272.0	299N2@1|root,2ZWQE@2|Bacteria,1RER3@1224|Proteobacteria,1S4NK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Bacteriophage HK97-gp10, putative tail-component	-	-	-	-	-	-	-	-	-	-	-	-	HK97-gp10_like
group_9544	1399774.JDWH01000033_gene4146	1.9e-169	473.0	COG2761@1|root,COG2761@2|Bacteria,1RKGC@1224|Proteobacteria,1S76N@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	DSBA-like thioredoxin domain	-	-	-	-	-	-	-	-	-	-	-	-	DSBA
group_9545	1097668.BYI23_E002790	0.0	1091.0	COG2801@1|root,COG2801@2|Bacteria,1MXCK@1224|Proteobacteria,2VK4Q@28216|Betaproteobacteria,1K2S9@119060|Burkholderiaceae	28216|Betaproteobacteria	L	Mu transposase, C-terminal	tniA	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_28,HTH_Tnp_Mu_2,Mu-transpos_C,rve
group_7419	1236541.BALL01000004_gene703	2e-114	329.0	COG2453@1|root,COG2453@2|Bacteria,1NK9T@1224|Proteobacteria	1224|Proteobacteria	T	phosphatase	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9549	573.JG24_02795	2.78e-148	418.0	28MZ5@1|root,2ZB5Z@2|Bacteria,1R8QB@1224|Proteobacteria,1S02B@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Plasmid stability protein	-	-	-	-	-	-	-	-	-	-	-	-	Plasmid_stab_B
ylpA_4~~~ylpA~~~ylpA_2~~~ylpA_1~~~ylpA_5	754331.AEME01000001_gene3678	1.01e-151	429.0	2C2AA@1|root,2ZAYY@2|Bacteria,1RD8I@1224|Proteobacteria,1RZE6@1236|Gammaproteobacteria,3XQM8@561|Escherichia	1236|Gammaproteobacteria	S	Enterobacterial TraT complement resistance protein	ylpA	-	-	-	-	-	-	-	-	-	-	-	TraT
group_7427	573.JG24_01260	1.01e-54	172.0	2DVKV@1|root,33WAN@2|Bacteria,1NW9M@1224|Proteobacteria,1SPNK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
